Target,Group1,Group2,change_type,changes
11_12_DiHETrE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0006642206836764, 'new': 0.0007}, 'q_value': {'old': 0.0157757374165313, 'new': 0.016566666666666667}}"
11_12_DiHETrE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.0125560996190247, 'new': 0.0126}, 'q_value': {'old': 0.146144766057501, 'new': 0.14665573770491805}}"
11_12_DiHETrE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0040447831338925, 'new': 0.004}, 'q_value': {'old': 0.0624303483709504, 'new': 0.061739130434782616}}"
11_12_DiHETrE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0060082124464974, 'new': 0.006}, 'q_value': {'old': 0.0836437419022188, 'new': 0.08352941176470588}}"
11_12_DiHETrE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.58840485620606, 'new': 0.5884}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
11_12_DiHETrE,FMT,NGBB,edited,"{'P_Value': {'old': 0.839412844709109, 'new': 0.8394}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
11_12_DiHETrE,FMT,Placebo,edited,"{'P_Value': {'old': 0.778673015437932, 'new': 0.7787}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
11_12_DiHETrE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.989120828938853, 'new': 0.9891}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
11_12_DiHETrE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.997070635580547, 'new': 0.9971}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
11_12_DiHETrE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.999921914424083, 'new': 0.9999}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_DiHOME,Chow control,FMT,edited,"{'P_Value': {'old': 2.45493403383534e-10, 'new': 0.0}, 'q_value': {'old': 1.74300316402309e-07, 'new': 0.0}}"
12_13_DiHOME,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 2.99079871979302e-09, 'new': 0.0}, 'q_value': {'old': 7.07822363684348e-07, 'new': 0.0}}"
12_13_DiHOME,Chow control,NGBB,edited,"{'P_Value': {'old': 9.47478695501047e-09, 'new': 0.0}, 'q_value': {'old': 1.34541974761149e-06, 'new': 0.0}}"
12_13_DiHOME,Chow control,Placebo,edited,"{'P_Value': {'old': 1.06926700826904e-09, 'new': 0.0}, 'q_value': {'old': 3.79589787935508e-07, 'new': 0.0}}"
12_13_DiHOME,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.358838910092696, 'new': 0.3588}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_DiHOME,FMT,NGBB,edited,"{'P_Value': {'old': 0.298406571852343, 'new': 0.2984}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_DiHOME,FMT,Placebo,edited,"{'P_Value': {'old': 0.626799309462155, 'new': 0.6268}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_DiHOME,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.999803151488041, 'new': 0.9998}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_DiHOME,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.989047377416656, 'new': 0.989}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_DiHOME,NGBB,Placebo,edited,"{'P_Value': {'old': 0.968672033779987, 'new': 0.9687}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_EpOME,Chow control,FMT,edited,"{'P_Value': {'old': 0.211237213110179, 'new': 0.2112}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_EpOME,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.999999927782666, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_EpOME,Chow control,NGBB,edited,"{'P_Value': {'old': 0.977408157129481, 'new': 0.9774}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_EpOME,Chow control,Placebo,edited,"{'P_Value': {'old': 0.637475188501705, 'new': 0.6375}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_EpOME,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.205345567812472, 'new': 0.2053}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
12_13_EpOME,FMT,NGBB,edited,"{'P_Value': {'old': 0.472377378408906, 'new': 0.4724}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
