Target,Group1,Group2,change_type,changes
10_HDoHE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0153971845148316, 'new': 0.015397184514831573}, 'q_value': {'old': 0.156495973757305, 'new': 0.1564959737573045}}"
10_HDoHE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.565783926666953, 'new': 0.5587598228708937}, 'q_value': {'old': 0.883592026532772, 'new': 0.872622393400388}}"
10_HDoHE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.216945077626192, 'new': 0.21216467995625798}, 'q_value': {'old': 0.631483324545724, 'new': 0.6175685519853519}}"
10_HDoHE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.216945077626192, 'new': 0.21216467995625798}, 'q_value': {'old': 0.631483324545724, 'new': 0.6175685519853519}}"
10_HDoHE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.226839723743749, 'new': 0.2268397237437485}, 'q_value': {'old': 0.651114021857056, 'new': 0.642577444991332}}"
10_HDoHE,FMT,NGBB,edited,"{'P_Value': {'old': 0.179110105580694, 'new': 0.17911010558069382}, 'q_value': {'old': 0.578376382604324, 'new': 0.5783763826043238}}"
10_HDoHE,FMT,Placebo,edited,"{'P_Value': {'old': 0.285444947209653, 'new': 0.2854449472096531}, 'q_value': {'old': 0.670222377947742, 'new': 0.6653228092856576}}"
10_HDoHE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.832752252458808, 'new': 0.8294475889935782}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
10_HDoHE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.607524122129049, 'new': 0.6008776409544788}, 'q_value': {'old': 0.890460888226975, 'new': 0.8807190009261865}}"
10_HDoHE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.948729289286565, 'new': 0.9476445296225945}}"
10_NO2_LA,Chow control,FMT,edited,"{'P_Value': {'old': 0.536010558069382, 'new': 0.5360105580693816}, 'q_value': {'old': 0.860949601044084, 'new': 0.8609496010440845}}"
10_NO2_LA,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.486502997608126, 'new': 0.4790843272053482}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
10_NO2_LA,Chow control,NGBB,edited,"{'P_Value': {'old': 0.270316628675762, 'new': 0.26429152373398135}, 'q_value': {'old': 0.659827991255796, 'new': 0.6451210421853089}}"
10_NO2_LA,Chow control,Placebo,edited,"{'P_Value': {'old': 0.846998718515746, 'new': 0.8438314252467704}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
10_NO2_LA,FMT,FMT_NGBB,unchanged,{}
10_NO2_LA,FMT,NGBB,edited,"{'P_Value': {'old': 0.210910005027652, 'new': 0.2109100050276521}, 'q_value': {'old': 0.630422778294425, 'new': 0.6175685519853519}}"
