aliquot	rt	datetime	injection_time	compound	target_class	area	compound_is	area_is	batch	type	rt_is
1	0.4	2026-05-20 15:21:49	1779283309	LPE 16:1	LPE	334.0	IS LPE 18:1(d7)	25.0	batch_1	sample	0.4
2	1.4	2026-05-20 15:22:49	1779283369	LPE 16:1	LPE	2571.0	IS LPE 18:1(d7)	94843.0	batch_1	sample	1.4
3	2.4	2026-05-20 15:23:49	1779283429	LPE 16:1	LPE	2854.0	IS LPE 18:1(d7)	98517.0	batch_1	sample	2.4
4	3.4	2026-05-20 15:24:49	1779283489	LPE 16:1	LPE	2685.0	IS LPE 18:1(d7)	84005.0	batch_1	sample	3.4
5	4.4	2026-05-20 15:25:49	1779283549	LPE 16:1	LPE	2027.0	IS LPE 18:1(d7)	95488.0	batch_1	sample	4.4
6	5.4	2026-05-20 15:26:49	1779283609	LPE 16:1	LPE	2968.0	IS LPE 18:1(d7)	104821.0	batch_1	sample	5.4
7	6.4	2026-05-20 15:27:49	1779283669	LPE 16:1	LPE	2948.0	IS LPE 18:1(d7)	100418.0	batch_1	sample	6.4
8	7.4	2026-05-20 15:28:49	1779283729	LPE 16:1	LPE	3371.0	IS LPE 18:1(d7)	106174.0	batch_1	sample	7.4
9	8.4	2026-05-20 15:29:49	1779283789	LPE 16:1	LPE	2960.0	IS LPE 18:1(d7)	106223.0	batch_1	sample	8.4
10	9.4	2026-05-20 15:30:49	1779283849	LPE 16:1	LPE	2713.0	IS LPE 18:1(d7)	83473.0	batch_1	sample	9.4
11	10.4	2026-05-20 15:31:49	1779283909	LPE 16:1	LPE	3752.0	IS LPE 18:1(d7)	99395.0	batch_1	sample	10.4
12	11.4	2026-05-20 15:32:49	1779283969	LPE 16:1	LPE	3066.0	IS LPE 18:1(d7)	90603.0	batch_1	sample	11.4
13	12.4	2026-05-20 15:33:49	1779284029	LPE 16:1	LPE	3022.0	IS LPE 18:1(d7)	96170.0	batch_1	sample	12.4
14	13.4	2026-05-20 15:34:49	1779284089	LPE 16:1	LPE	1504.0	IS LPE 18:1(d7)	82551.0	batch_1	sample	13.4
15	14.4	2026-05-20 15:35:49	1779284149	LPE 16:1	LPE	1895.0	IS LPE 18:1(d7)	101404.0	batch_1	sample	14.4
16	15.4	2026-05-20 15:36:49	1779284209	LPE 16:1	LPE	3147.0	IS LPE 18:1(d7)	71597.0	batch_1	sample	15.4
17	16.4	2026-05-20 15:37:49	1779284269	LPE 16:1	LPE	2232.0	IS LPE 18:1(d7)	86310.0	batch_1	sample	16.4
18	17.4	2026-05-20 15:38:49	1779284329	LPE 16:1	LPE	1481.0	IS LPE 18:1(d7)	88580.0	batch_1	sample	17.4
19	18.4	2026-05-20 15:39:49	1779284389	LPE 16:1	LPE	2990.0	IS LPE 18:1(d7)	98925.0	batch_1	sample	18.4
20	19.4	2026-05-20 15:40:49	1779284449	LPE 16:1	LPE	3250.0	IS LPE 18:1(d7)	91989.0	batch_1	sample	19.4
21	20.4	2026-05-20 15:41:49	1779284509	LPE 16:1	LPE	2284.0	IS LPE 18:1(d7)	92847.0	batch_1	sample	20.4
22	21.4	2026-05-20 15:42:49	1779284569	LPE 16:1	LPE	2964.0	IS LPE 18:1(d7)	83957.0	batch_1	sample	21.4
23	22.4	2026-05-20 15:43:49	1779284629	LPE 16:1	LPE	2274.0	IS LPE 18:1(d7)	96127.0	batch_1	sample	22.4
24	23.4	2026-05-20 15:44:49	1779284689	LPE 16:1	LPE	9780.0	IS LPE 18:1(d7)	122840.0	batch_1	sample	23.4
25	24.4	2026-05-20 15:45:49	1779284749	LPE 16:1	LPE	2600.0	IS LPE 18:1(d7)	103296.0	batch_1	sample	24.4
26	25.4	2026-05-20 15:46:49	1779284809	LPE 16:1	LPE	7785.0	IS LPE 18:1(d7)	89373.0	batch_1	sample	25.4
27	26.4	2026-05-20 15:47:49	1779284869	LPE 16:1	LPE	2121.0	IS LPE 18:1(d7)	102198.0	batch_1	sample	26.4
28	27.4	2026-05-20 15:48:49	1779284929	LPE 16:1	LPE	1322.0	IS LPE 18:1(d7)	102780.0	batch_1	sample	27.4
29	28.4	2026-05-20 15:49:49	1779284989	LPE 16:1	LPE	2208.0	IS LPE 18:1(d7)	87481.0	batch_1	sample	28.4
30	29.4	2026-05-20 15:50:49	1779285049	LPE 16:1	LPE	3864.0	IS LPE 18:1(d7)	93350.0	batch_1	sample	29.4
31	30.4	2026-05-20 15:51:49	1779285109	LPE 16:1	LPE	2102.0	IS LPE 18:1(d7)	95491.0	batch_1	sample	30.4
32	31.4	2026-05-20 15:52:49	1779285169	LPE 16:1	LPE	2710.0	IS LPE 18:1(d7)	91685.0	batch_1	sample	31.4
33	32.4	2026-05-20 15:53:49	1779285229	LPE 16:1	LPE	2673.0	IS LPE 18:1(d7)	105170.0	batch_1	sample	32.4
34	33.4	2026-05-20 15:54:49	1779285289	LPE 16:1	LPE	2728.0	IS LPE 18:1(d7)	82453.0	batch_1	sample	33.4
35	34.4	2026-05-20 15:55:49	1779285349	LPE 16:1	LPE	4977.0	IS LPE 18:1(d7)	99827.0	batch_1	sample	34.4
36	35.4	2026-05-20 15:56:49	1779285409	LPE 16:1	LPE	2381.0	IS LPE 18:1(d7)	111262.0	batch_1	sample	35.4
37	36.4	2026-05-20 15:57:49	1779285469	LPE 16:1	LPE	1902.0	IS LPE 18:1(d7)	100900.0	batch_1	sample	36.4
38	37.4	2026-05-20 15:58:49	1779285529	LPE 16:1	LPE	2899.0	IS LPE 18:1(d7)	94374.0	batch_1	sample	37.4
39	38.4	2026-05-20 15:59:49	1779285589	LPE 16:1	LPE	4634.0	IS LPE 18:1(d7)	81361.0	batch_1	sample	38.4
40	39.4	2026-05-20 16:00:49	1779285649	LPE 16:1	LPE	5316.0	IS LPE 18:1(d7)	84872.0	batch_1	sample	39.4
41	40.4	2026-05-20 16:01:49	1779285709	LPE 16:1	LPE	1976.0	IS LPE 18:1(d7)	99820.0	batch_1	sample	40.4
42	41.4	2026-05-20 16:02:49	1779285769	LPE 16:1	LPE	2616.0	IS LPE 18:1(d7)	85478.0	batch_1	sample	41.4
43	42.4	2026-05-20 16:03:49	1779285829	LPE 16:1	LPE	2636.0	IS LPE 18:1(d7)	108453.0	batch_1	sample	42.4
44	43.4	2026-05-20 16:04:49	1779285889	LPE 16:1	LPE	2027.0	IS LPE 18:1(d7)	98915.0	batch_1	sample	43.4
45	44.4	2026-05-20 16:05:49	1779285949	LPE 16:1	LPE	2693.0	IS LPE 18:1(d7)	87969.0	batch_1	sample	44.4
46	45.4	2026-05-20 16:06:49	1779286009	LPE 16:1	LPE	5595.0	IS LPE 18:1(d7)	94347.0	batch_1	sample	45.4
47	46.4	2026-05-20 16:07:49	1779286069	LPE 16:1	LPE	1794.0	IS LPE 18:1(d7)	104461.0	batch_1	sample	46.4
48	47.4	2026-05-20 16:08:49	1779286129	LPE 16:1	LPE	2881.0	IS LPE 18:1(d7)	96084.0	batch_1	sample	47.4
49	48.4	2026-05-20 16:09:49	1779286189	LPE 16:1	LPE	1718.0	IS LPE 18:1(d7)	105798.0	batch_1	sample	48.4
50	49.4	2026-05-20 16:10:49	1779286249	LPE 16:1	LPE	2029.0	IS LPE 18:1(d7)	90471.0	batch_1	sample	49.4
51	50.4	2026-05-20 16:11:49	1779286309	LPE 16:1	LPE	2081.0	IS LPE 18:1(d7)	89722.0	batch_1	sample	50.4
52	51.4	2026-05-20 16:12:49	1779286369	LPE 16:1	LPE	2505.0	IS LPE 18:1(d7)	89093.0	batch_1	sample	51.4
