"Target","Comparison","P_Value","q_value"
"A_11_12_DiHETrE","FMT-Chow control",0.000664220683676442,0.0157757374165313
"A_11_12_DiHETrE","FMT_NGBB-Chow control",0.0125560996190247,0.146144766057501
"A_11_12_DiHETrE","NGBB-Chow control",0.00404478313389256,0.0624303483709504
"A_11_12_DiHETrE","Placebo-Chow control",0.00600821244649741,0.0836437419022188
"A_11_12_DiHETrE","FMT_NGBB-FMT",0.58840485620606,0.99999999998091
"A_11_12_DiHETrE","NGBB-FMT",0.839412844709109,0.99999999998091
"A_11_12_DiHETrE","Placebo-FMT",0.778673015437932,0.99999999998091
"A_11_12_DiHETrE","NGBB-FMT_NGBB",0.989120828938853,0.99999999998091
"A_11_12_DiHETrE","Placebo-FMT_NGBB",0.997070635580547,0.99999999998091
"A_11_12_DiHETrE","Placebo-NGBB",0.999921914424083,0.99999999998091
"A_12_13_DiHOME","FMT-Chow control",2.45493403383534e-10,1.74300316402309e-07
"A_12_13_DiHOME","FMT_NGBB-Chow control",2.99079871979302e-09,7.07822363684348e-07
"A_12_13_DiHOME","NGBB-Chow control",9.47478695501047e-09,1.34541974761149e-06
"A_12_13_DiHOME","Placebo-Chow control",1.06926700826904e-09,3.79589787935508e-07
"A_12_13_DiHOME","FMT_NGBB-FMT",0.358838910092696,0.99999999998091
"A_12_13_DiHOME","NGBB-FMT",0.298406571852343,0.99999999998091
"A_12_13_DiHOME","Placebo-FMT",0.626799309462155,0.99999999998091
"A_12_13_DiHOME","NGBB-FMT_NGBB",0.999803151488041,0.99999999998091
"A_12_13_DiHOME","Placebo-FMT_NGBB",0.989047377416656,0.99999999998091
"A_12_13_DiHOME","Placebo-NGBB",0.968672033779987,0.99999999998091
"A_12_13_EpOME","FMT-Chow control",0.211237213110179,0.99999999998091
"A_12_13_EpOME","FMT_NGBB-Chow control",0.999999927782666,0.99999999998091
"A_12_13_EpOME","NGBB-Chow control",0.977408157129481,0.99999999998091
"A_12_13_EpOME","Placebo-Chow control",0.637475188501705,0.99999999998091
"A_12_13_EpOME","FMT_NGBB-FMT",0.205345567812472,0.99999999998091
"A_12_13_EpOME","NGBB-FMT",0.472377378408906,0.99999999998091
"A_12_13_EpOME","Placebo-FMT",0.880186278271752,0.99999999998091
"A_12_13_EpOME","NGBB-FMT_NGBB",0.978950405564378,0.99999999998091
"A_12_13_EpOME","Placebo-FMT_NGBB",0.633492201758601,0.99999999998091
"A_12_13_EpOME","Placebo-NGBB",0.926474023747413,0.99999999998091
"A_13_HODE","FMT-Chow control",0.00158675312368761,0.0296472294162685
"A_13_HODE","FMT_NGBB-Chow control",0.288851015256661,0.99999999998091
"A_13_HODE","NGBB-Chow control",0.286364645820442,0.99999999998091
"A_13_HODE","Placebo-Chow control",0.0311183113386025,0.290710540136945
"A_13_HODE","FMT_NGBB-FMT",0.13355638540506,0.828492833148706
"A_13_HODE","NGBB-FMT",0.157248518468139,0.901819738897928
"A_13_HODE","Placebo-FMT",0.628237620960266,0.99999999998091
"A_13_HODE","NGBB-FMT_NGBB",0.999998745969018,0.99999999998091
"A_13_HODE","Placebo-FMT_NGBB",0.802003116018464,0.99999999998091
"A_13_HODE","Placebo-NGBB",0.837026386194657,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","FMT-Chow control",0.0114170521905488,0.137391645004909
"A_15deoxy_delta_12_14_PGJ2","FMT_NGBB-Chow control",0.00389779444143645,0.0614985345204418
"A_15deoxy_delta_12_14_PGJ2","NGBB-Chow control",0.000147452767732315,0.00475870295863379
"A_15deoxy_delta_12_14_PGJ2","Placebo-Chow control",2.8889213615102e-05,0.00107954429824855
"A_15deoxy_delta_12_14_PGJ2","FMT_NGBB-FMT",0.999897630470074,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","NGBB-FMT",0.915530825288422,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","Placebo-FMT",0.709225916017415,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","NGBB-FMT_NGBB",0.783574051118245,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","Placebo-FMT_NGBB",0.481153682671434,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","Placebo-NGBB",0.988282090360701,0.99999999998091
"A_17_18_DiHETE","FMT-Chow control",0.552359366742952,0.99999999998091
