"Target","Comparison","P_Value","q_value"
"A_10_HDoHE","FMT-Chow control",0.0153971845148316,0.156495973757305
"A_10_HDoHE","FMT_NGBB-Chow control",0.565783926666953,0.883592026532772
"A_10_HDoHE","NGBB-Chow control",0.216945077626192,0.631483324545724
"A_10_HDoHE","Placebo-Chow control",0.216945077626192,0.631483324545724
"A_10_HDoHE","FMT_NGBB-FMT",0.226839723743749,0.651114021857056
"A_10_HDoHE","NGBB-FMT",0.179110105580694,0.578376382604324
"A_10_HDoHE","Placebo-FMT",0.285444947209653,0.670222377947742
"A_10_HDoHE","NGBB-FMT_NGBB",0.832752252458808,0.998624456985329
"A_10_HDoHE","Placebo-FMT_NGBB",0.607524122129049,0.890460888226975
"A_10_HDoHE","Placebo-NGBB",0.948729289286565,1
"A_10_NO2_LA","FMT-Chow control",0.536010558069382,0.860949601044084
"A_10_NO2_LA","FMT_NGBB-Chow control",0.486502997608126,0.819651789448473
"A_10_NO2_LA","NGBB-Chow control",0.270316628675762,0.659827991255796
"A_10_NO2_LA","Placebo-Chow control",0.846998718515746,0.998624456985329
"A_10_NO2_LA","FMT_NGBB-FMT",0.967135032150512,1
"A_10_NO2_LA","NGBB-FMT",0.210910005027652,0.630422778294425
"A_10_NO2_LA","Placebo-FMT",0.658999497234791,0.909977034043587
"A_10_NO2_LA","NGBB-FMT_NGBB",0.169317154779532,0.561372384830534
"A_10_NO2_LA","Placebo-FMT_NGBB",0.565783926666953,0.883592026532772
"A_10_NO2_LA","Placebo-NGBB",0.270316628675762,0.659827991255796
"A_11_HDoHE","FMT-Chow control",0.478946706887883,0.819651789448473
"A_11_HDoHE","FMT_NGBB-Chow control",0.211496674008452,0.630422778294425
"A_11_HDoHE","NGBB-Chow control",1,1
"A_11_HDoHE","Placebo-Chow control",0.948729289286565,1
"A_11_HDoHE","FMT_NGBB-FMT",0.0831150273874732,0.403920033466509
"A_11_HDoHE","NGBB-FMT",0.425150829562594,0.775275042143554
"A_11_HDoHE","Placebo-FMT",0.328305681246858,0.709043243152349
"A_11_HDoHE","NGBB-FMT_NGBB",0.235116613094807,0.652568829416492
"A_11_HDoHE","Placebo-FMT_NGBB",0.565783926666953,0.883592026532772
"A_11_HDoHE","Placebo-NGBB",0.652184760543894,0.909977034043587
"A_11_HETE","FMT-Chow control",0.791415284062343,0.977445171551101
"A_11_HETE","FMT_NGBB-Chow control",0.287547020216289,0.670222377947742
"A_11_HETE","NGBB-Chow control",0.561888318080269,0.883592026532772
"A_11_HETE","Placebo-Chow control",0.519032309279987,0.860427892389284
"A_11_HETE","FMT_NGBB-FMT",0.0831150273874732,0.403920033466509
"A_11_HETE","NGBB-FMT",0.374937154348919,0.737966261071055
"A_11_HETE","Placebo-FMT",0.0853443941679236,0.403920033466509
"A_11_HETE","NGBB-FMT_NGBB",0.346999211583947,0.724375458525411
"A_11_HETE","Placebo-FMT_NGBB",0.694702524558494,0.94672242957965
"A_11_HETE","Placebo-NGBB",0.299986391317661,0.676332954970726
"A_12_HEPE","FMT-Chow control",0.0441176470588235,0.268166089965398
"A_12_HEPE","FMT_NGBB-Chow control",0.607524122129049,0.890460888226975
"A_12_HEPE","NGBB-Chow control",0.216945077626192,0.631483324545724
"A_12_HEPE","Placebo-Chow control",0.270316628675762,0.659827991255796
"A_12_HEPE","FMT_NGBB-FMT",0.119830118282131,0.476247905993083
"A_12_HEPE","NGBB-FMT",0.285444947209653,0.670222377947742
"A_12_HEPE","Placebo-FMT",0.246292106586224,0.652568829416492
"A_12_HEPE","NGBB-FMT_NGBB",0.739898141971099,0.957696968730859
"A_12_HEPE","Placebo-FMT_NGBB",0.785948739643719,0.977445171551101
"A_12_HEPE","Placebo-NGBB",0.948729289286565,1
"A_12_HETE","FMT-Chow control",0.0441176470588235,0.268166089965398
"A_12_HETE","FMT_NGBB-Chow control",0.189586695442127,0.605895624608859
"A_12_HETE","NGBB-Chow control",0.0233077036482609,0.200705225860025
"A_12_HETE","Placebo-Chow control",0.0399755043717892,0.263668220324567
"A_12_HETE","FMT_NGBB-FMT",0.384456616654759,0.737966261071055
"A_12_HETE","NGBB-FMT",0.658999497234791,0.909977034043587
"A_12_HETE","Placebo-FMT",0.374937154348919,0.737966261071055
"A_12_HETE","NGBB-FMT_NGBB",0.413411060604492,0.775275042143554
"A_12_HETE","Placebo-FMT_NGBB",0.880111946204287,1
"A_12_HETE","Placebo-NGBB",0.846998718515746,0.998624456985329
"A_13_14dihydro_15k_PGE2","FMT-Chow control",0.328305681246858,0.709043243152349
"A_13_14dihydro_15k_PGE2","FMT_NGBB-Chow control",0.169317154779532,0.561372384830534
"A_13_14dihydro_15k_PGE2","NGBB-Chow control",0.561888318080269,0.883592026532772
"A_13_14dihydro_15k_PGE2","Placebo-Chow control",0.055668016194332,0.310938468833206
"A_13_14dihydro_15k_PGE2","FMT_NGBB-FMT",0.650353258712392,0.909977034043587
"A_13_14dihydro_15k_PGE2","NGBB-FMT",0.425150829562594,0.775275042143554
"A_13_14dihydro_15k_PGE2","Placebo-FMT",0.478946706887883,0.819651789448473
"A_13_14dihydro_15k_PGE2","NGBB-FMT_NGBB",0.211496674008452,0.630422778294425
"A_13_14dihydro_15k_PGE2","Placebo-FMT_NGBB",0.832752252458808,0.998624456985329
"A_13_14dihydro_15k_PGE2","Placebo-NGBB",0.055668016194332,0.310938468833206
"A_13_KODE","FMT-Chow control",0.425150829562594,0.775275042143554
"A_13_KODE","FMT_NGBB-Chow control",0.927908005307386,1
"A_13_KODE","NGBB-Chow control",0.216945077626192,0.631483324545724
"A_13_KODE","Placebo-Chow control",0.331649258893841,0.709043243152349
"A_13_KODE","FMT_NGBB-FMT",0.431967928871954,0.785396234312643
"A_13_KODE","NGBB-FMT",0.0853443941679236,0.403920033466509
"A_13_KODE","Placebo-FMT",0.0441176470588235,0.268166089965398
"A_13_KODE","NGBB-FMT_NGBB",0.260447991905792,0.65884185872104
"A_13_KODE","Placebo-FMT_NGBB",0.260447991905792,0.65884185872104
"A_13_KODE","Placebo-NGBB",0.948729289286565,1
"A_14_15_DiHETrE","FMT-Chow control",0.000754147812971342,0.015820093219474
"A_14_15_DiHETrE","FMT_NGBB-Chow control",0.000205609439692089,0.00637389263045475
"A_14_15_DiHETrE","NGBB-Chow control",8.50542646208281e-05,0.00310197906264197
"A_14_15_DiHETrE","Placebo-Chow control",8.50542646208281e-05,0.00310197906264197
"A_14_15_DiHETrE","FMT_NGBB-FMT",0.299118837818528,0.676332954970726
"A_14_15_DiHETrE","NGBB-FMT",0.724233283056812,0.955371564883455
"A_14_15_DiHETrE","Placebo-FMT",0.596153846153846,0.890460888226975
"A_14_15_DiHETrE","NGBB-FMT_NGBB",0.0594980467103229,0.326449459826551
"A_14_15_DiHETrE","Placebo-FMT_NGBB",0.486502997608126,0.819651789448473
"A_14_15_DiHETrE","Placebo-NGBB",0.438463239546831,0.785685573754437
"A_14_HDoHE","FMT-Chow control",0.125942684766214,0.491097261352533
"A_14_HDoHE","FMT_NGBB-Chow control",0.650549746390371,0.909977034043587
"A_14_HDoHE","NGBB-Chow control",0.193186586375441,0.6079983936689
"A_14_HDoHE","Placebo-Chow control",0.242648476394606,0.652568829416492
"A_14_HDoHE","FMT_NGBB-FMT",0.261411447169961,0.65884185872104
"A_14_HDoHE","NGBB-FMT",0.596153846153846,0.890460888226975
"A_14_HDoHE","Placebo-FMT",0.860105580693816,0.998624456985329
"A_14_HDoHE","NGBB-FMT_NGBB",0.486502997608126,0.819651789448473
"A_14_HDoHE","Placebo-FMT_NGBB",0.739898141971099,0.957696968730859
"A_14_HDoHE","Placebo-NGBB",1,1
"A_16_HDoHE","FMT-Chow control",0.125942684766214,0.491097261352533
"A_16_HDoHE","FMT_NGBB-Chow control",0.379339061799689,0.737966261071055
"A_16_HDoHE","NGBB-Chow control",0.116408101702219,0.471712430791715
"A_16_HDoHE","Placebo-Chow control",0.0280650721827192,0.223081342990845
"A_16_HDoHE","FMT_NGBB-FMT",0.482416448360721,0.819651789448473
"A_16_HDoHE","NGBB-FMT",0.791415284062343,0.977445171551101
"A_16_HDoHE","Placebo-FMT",1,1
"A_16_HDoHE","NGBB-FMT_NGBB",0.565783926666953,0.883592026532772
"A_16_HDoHE","Placebo-FMT_NGBB",0.346999211583947,0.724375458525411
"A_16_HDoHE","Placebo-NGBB",0.796935778359927,0.982306526010248
"A_17_HDoHE","FMT-Chow control",0.0692559074912016,0.35486498053343
"A_17_HDoHE","FMT_NGBB-Chow control",0.486502997608126,0.819651789448473
"A_17_HDoHE","NGBB-Chow control",0.519032309279987,0.860427892389284
"A_17_HDoHE","Placebo-Chow control",0.151274679912451,0.521057230809553
"A_17_HDoHE","FMT_NGBB-FMT",0.0170675557672462,0.167966421836391
"A_17_HDoHE","NGBB-FMT",0.0441176470588235,0.268166089965398
"A_17_HDoHE","Placebo-FMT",0.0113750628456511,0.123728753759714
"A_17_HDoHE","NGBB-FMT_NGBB",0.346999211583947,0.724375458525411
"A_17_HDoHE","Placebo-FMT_NGBB",0.211496674008452,0.630422778294425
"A_17_HDoHE","Placebo-NGBB",0.270316628675762,0.659827991255796
"A_19_20_DiHDPA","FMT-Chow control",0.0345651080945199,0.249190314169794
"A_19_20_DiHDPA","FMT_NGBB-Chow control",0.0594980467103229,0.326449459826551
"A_19_20_DiHDPA","NGBB-Chow control",0.0335964345252271,0.249190314169794
"A_19_20_DiHDPA","Placebo-Chow control",0.101415869991721,0.433575942853479
"A_19_20_DiHDPA","FMT_NGBB-FMT",0.261411447169961,0.65884185872104
"A_19_20_DiHDPA","NGBB-FMT",0.658999497234791,0.909977034043587
"A_19_20_DiHDPA","Placebo-FMT",0.210910005027652,0.630422778294425
"A_19_20_DiHDPA","NGBB-FMT_NGBB",0.379339061799689,0.737966261071055
"A_19_20_DiHDPA","Placebo-FMT_NGBB",0.607524122129049,0.890460888226975
"A_19_20_DiHDPA","Placebo-NGBB",0.193186586375441,0.6079983936689
"A_1_OG_2_OG","FMT-Chow control",0.0692559074912016,0.35486498053343
"A_1_OG_2_OG","FMT_NGBB-Chow control",0.037417959614756,0.263626533649417
"A_1_OG_2_OG","NGBB-Chow control",0.0083296476485331,0.0974411611715193
"A_1_OG_2_OG","Placebo-Chow control",0.00104049717052813,0.0208099434105626
"A_1_OG_2_OG","FMT_NGBB-FMT",1,1
"A_1_OG_2_OG","NGBB-FMT",0.860105580693816,0.998624456985329
"A_1_OG_2_OG","Placebo-FMT",0.478946706887883,0.819651789448473
"A_1_OG_2_OG","NGBB-FMT_NGBB",0.832752252458808,0.998624456985329
"A_1_OG_2_OG","Placebo-FMT_NGBB",0.449136810154444,0.797893473626806
"A_1_OG_2_OG","Placebo-NGBB",0.365308066546457,0.737966261071055
"A_5_HETrE","FMT-Chow control",0.425150829562594,0.775275042143554
"A_5_HETrE","FMT_NGBB-Chow control",0.235116613094807,0.652568829416492
"A_5_HETrE","NGBB-Chow control",0.519032309279987,0.860427892389284
"A_5_HETrE","Placebo-Chow control",0.270316628675762,0.659827991255796
"A_5_HETrE","FMT_NGBB-FMT",0.9018020163531,1
"A_5_HETrE","NGBB-FMT",0.791415284062343,0.977445171551101
"A_5_HETrE","Placebo-FMT",0.929801407742584,1
"A_5_HETrE","NGBB-FMT_NGBB",0.486502997608126,0.819651789448473
"A_5_HETrE","Placebo-FMT_NGBB",0.880111946204287,1
"A_5_HETrE","Placebo-NGBB",0.699353020560451,0.94672242957965
"A_8iso_PGA1","FMT-Chow control",0.246292106586224,0.652568829416492
"A_8iso_PGA1","FMT_NGBB-Chow control",0.525398682620381,0.860949601044084
"A_8iso_PGA1","NGBB-Chow control",1,1
"A_8iso_PGA1","Placebo-Chow control",0.0399755043717892,0.263668220324567
"A_8iso_PGA1","FMT_NGBB-FMT",0.710843851710725,0.955371564883455
"A_8iso_PGA1","NGBB-FMT",0.374937154348919,0.737966261071055
"A_8iso_PGA1","Placebo-FMT",0.860105580693816,0.998624456985329
"A_8iso_PGA1","NGBB-FMT_NGBB",0.449136810154444,0.797893473626806
"A_8iso_PGA1","Placebo-FMT_NGBB",0.169317154779532,0.561372384830534
"A_8iso_PGA1","Placebo-NGBB",0.0192307692307692,0.180652680652681
"A_8iso_PGE2","FMT-Chow control",0.150892408245349,0.521057230809553
"A_8iso_PGE2","FMT_NGBB-Chow control",0.0225001812025638,0.199287319222708
"A_8iso_PGE2","NGBB-Chow control",0.101415869991721,0.433575942853479
"A_8iso_PGE2","Placebo-Chow control",0.0192307692307692,0.180652680652681
"A_8iso_PGE2","FMT_NGBB-FMT",0.261411447169961,0.65884185872104
"A_8iso_PGE2","NGBB-FMT",0.791415284062343,0.977445171551101
"A_8iso_PGE2","Placebo-FMT",1,1
"A_8iso_PGE2","NGBB-FMT_NGBB",0.0908423922288507,0.414134435160937
"A_8iso_PGE2","Placebo-FMT_NGBB",0.211496674008452,0.630422778294425
"A_8iso_PGE2","Placebo-NGBB",0.47785470463489,0.819651789448473
"A_9_10_DiHOME","FMT-Chow control",6.28456510809452e-05,0.00259762024467907
"A_9_10_DiHOME","FMT_NGBB-Chow control",5.91681840840543e-06,0.000524061059030195
"A_9_10_DiHOME","NGBB-Chow control",1.13405686161104e-05,0.000703115254198846
"A_9_10_DiHOME","Placebo-Chow control",1.13405686161104e-05,0.000703115254198846
"A_9_10_DiHOME","FMT_NGBB-FMT",0.0221084385171072,0.199287319222708
"A_9_10_DiHOME","NGBB-FMT",0.00590749120160885,0.0732528908999497
"A_9_10_DiHOME","Placebo-FMT",0.00414781297134238,0.0598056754007506
"A_9_10_DiHOME","NGBB-FMT_NGBB",0.449136810154444,0.797893473626806
"A_9_10_DiHOME","Placebo-FMT_NGBB",0.607524122129049,0.890460888226975
"A_9_10_DiHOME","Placebo-NGBB",0.699353020560451,0.94672242957965
"A_9_HODE","FMT-Chow control",0.00188536953242836,0.0354220942456237
