sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
1,0.4,1.4,2400.0,134,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
2,1.4,2.4,5729.0,167,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
3,2.4,3.4,1438.0,109,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
4,3.4,4.4,1183.0,96,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
5,4.4,5.4,1024.0,88,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
6,5.4,6.4,1646.0,100,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
7,6.4,7.4,1536.0,94,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
8,7.4,8.4,1133.0,100,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
9,8.4,9.4,937.0,78,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
10,9.4,10.4,1075.0,78,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
11,10.4,11.4,2935.0,144,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
12,11.4,12.4,5493.0,176,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
13,12.4,13.4,1345.0,104,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
14,13.4,14.4,942.0,87,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
15,14.4,15.4,944.0,75,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
16,15.4,16.4,1589.0,107,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
17,16.4,17.4,1525.0,104,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
18,17.4,18.4,1077.0,90,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
19,18.4,19.4,994.0,79,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
20,19.4,20.4,1101.0,90,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
21,20.4,21.4,913.0,74,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
22,21.4,22.4,4781.0,148,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
23,22.4,23.4,1640.0,117,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
24,23.4,24.4,1726.0,122,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
25,24.4,25.4,1400.0,99,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
26,25.4,26.4,5373.0,148,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
27,26.4,27.4,807.0,65,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
28,27.4,28.4,1021.0,88,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
29,28.4,29.4,1026.0,86,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
30,29.4,30.4,835.0,72,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
31,30.4,31.4,726.0,65,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
32,31.4,32.4,4324.0,138,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
33,32.4,33.4,1319.0,98,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
34,33.4,34.4,939.0,74,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
35,34.4,35.4,1646.0,118,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
36,35.4,36.4,646.0,55,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
37,36.4,37.4,1053.0,85,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
38,37.4,38.4,2466.0,139,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
39,38.4,39.4,1045.0,85,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
40,39.4,40.4,5085.0,161,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
41,40.4,41.4,1047.0,78,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
42,41.4,42.4,5301.0,163,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
43,42.4,43.4,1644.0,116,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
44,43.4,44.4,1424.0,103,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
45,44.4,45.4,807.0,70,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
46,45.4,46.4,1181.0,76,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
47,46.4,47.4,1021.0,77,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
48,47.4,48.4,1107.0,98,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
49,48.4,49.4,1186.0,93,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
50,49.4,50.4,7349.0,162,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
51,50.4,51.4,1019.0,86,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
52,51.4,52.4,4587.0,145,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
