Sample_ID,Sample_Name_68,,Sample_Name_65,,Sample_Name_64,,,,,
1,2312ALU_0001LQC_H1,,2312ALU_0001BLANK_A1,,2312ALU_0001BLANK_A1,,,,,
2,2312ALU_0001LQC_H2,,2312ALU_0001LQC_A1,,2312ALU_0001LQC_A1,,,,,
3,2312ALU_0001LQC_H3,,2312ALU_0001SQC_A1,,2312ALU_0001SQC_A1,,,,,
4,2312ALU_0001BLANK_A1,,2312ALU_0001_A1,,2312ALU_0001_A1,,,,,
5,2312ALU_0001LQC_A1,,2312ALU_0002_A1,,2312ALU_0002_A1,,,,,
6,2312ALU_0001SQC_A1,,2312ALU_0003_A1,,2312ALU_0003_A1,,,,,
7,2312ALU_0001_A1,,2312ALU_0004_A1,,2312ALU_0004_A1,,,,,
8,2312ALU_0002_A1,,2312ALU_0005_A1,,2312ALU_0005_A1,,,,,
9,2312ALU_0003_A1,,2312ALU_0006_A1,,2312ALU_0006_A1,,,,,
10,2312ALU_0004_A1,,2312ALU_0007_A1,,2312ALU_0007_A1,,,,,
11,2312ALU_0005_A1,,2312ALU_0008_A1,,2312ALU_0008_A1,,,,,
12,2312ALU_0006_A1,,2312ALU_0001LQC_B1,,2312ALU_0001LQC_B1,,,,,
13,2312ALU_0007_A1,,2312ALU_0001SQC_B1,,2312ALU_0001SQC_B1,,,,,
14,2312ALU_0008_A1,,2312ALU_0009_A1,,2312ALU_0009_A1,,,,,
15,2312ALU_0001LQC_B1,,2312ALU_0010_A1,,2312ALU_0010_A1,,,,,
16,2312ALU_0001SQC_B1,,2312ALU_0011_A1,,2312ALU_0011_A1,,,,,
17,2312ALU_0009_A1,,2312ALU_0012_A1,,2312ALU_0012_A1,,,,,
18,2312ALU_0010_A1,,2312ALU_0013_A1,,2312ALU_0013_A1,,,,,
19,2312ALU_0011_A1,,2312ALU_0014_A1,,2312ALU_0014_A1,,,,,
20,2312ALU_0012_A1,,2312ALU_0015_A1,,2312ALU_0015_A1,,,,,
21,2312ALU_0013_A1,,2312ALU_0016_A1,,2312ALU_0016_A1,,,,,
22,2312ALU_0014_A1,,2312ALU_0001LQC_C1,,2312ALU_0001LQC_C1,,,,,
23,2312ALU_0015_A1,,2312ALU_0001SQC_C1,,2312ALU_0001SQC_C1,,,,,
24,2312ALU_0016_A1,,2312ALU_0017_A1,,2312ALU_0017_A1,,,,,
25,2312ALU_0001LQC_C1,,2312ALU_0018_A1,,2312ALU_0018_A1,,,,,
26,2312ALU_0001SQC_C1,,2312ALU_0019_A1,,2312ALU_0019_A1,,,,,
27,2312ALU_0017_A1,,2312ALU_0020_A1,,2312ALU_0020_A1,,,,,
28,2312ALU_0018_A1,,2312ALU_0021_A1,,2312ALU_0021_A1,,,,,
